LogIntensity,ResolutionRange
7.823667,Inf-12.64
6.209057,Inf-12.64
6.233201,Inf-12.64
5.186629,Inf-12.64
4.289518,Inf-12.64
2.419951,Inf-12.64
7.519030,Inf-12.64
6.016430,Inf-12.64
5.464104,Inf-12.64
5.786612,Inf-12.64
4.091433,Inf-12.64
2.604519,Inf-12.64
6.227710,Inf-12.64
5.366544,Inf-12.64
2.924608,Inf-12.64
6.158349,Inf-12.64
6.562104,Inf-12.64
5.287947,Inf-12.64
6.970538,Inf-12.64
5.973464,Inf-12.64
3.784362,Inf-12.64
4.668775,Inf-12.64
6.233201,Inf-12.64
7.402148,Inf-12.64
5.089635,Inf-12.64
5.831393,Inf-12.64
6.269496,Inf-12.64
5.066595,Inf-12.64
5.305633,Inf-12.64
5.163456,Inf-12.64
2.924608,Inf-12.64
7.188355,Inf-12.64
5.664821,Inf-12.64
4.677104,Inf-12.64
3.814364,Inf-12.64
6.470799,Inf-12.64
5.197219,Inf-12.64
6.495150,Inf-12.64
5.355023,Inf-12.64
5.431605,Inf-12.64
5.372926,Inf-12.64
5.368140,Inf-12.64
4.731066,Inf-12.64
5.574187,Inf-12.64
5.362711,Inf-12.64
6.391252,Inf-12.64
3.568290,Inf-12.64
7.760639,Inf-12.64
6.005167,Inf-12.64
4.289518,Inf-12.64
4.880110,Inf-12.64
6.129956,Inf-12.64
4.490891,Inf-12.64
6.103875,Inf-12.64
4.814997,Inf-12.64
6.619568,Inf-12.64
4.953317,Inf-12.64
5.482997,Inf-12.64
6.077356,Inf-12.64
3.540275,Inf-12.64
6.838456,Inf-12.64
4.668668,Inf-12.64
3.973502,Inf-12.64
5.967716,Inf-12.64
5.569616,Inf-12.64
7.302717,Inf-12.64
5.786612,Inf-12.64
5.305633,Inf-12.64
5.831393,Inf-12.64
4.785140,Inf-12.64
7.262637,Inf-12.64
3.663743,Inf-12.64
3.862280,Inf-12.64
1.633965,Inf-12.64
5.096376,Inf-12.64
5.289877,Inf-12.64
7.176362,Inf-12.64
4.829580,Inf-12.64
6.056669,Inf-12.64
4.617397,Inf-12.64
7.130791,Inf-12.64
5.096376,Inf-12.64
5.609179,Inf-12.64
5.464104,Inf-12.64
2.297866,Inf-12.64
6.566256,Inf-12.64
5.419298,Inf-12.64
4.028423,Inf-12.64
5.289299,Inf-12.64
5.355360,Inf-12.64
6.209057,Inf-12.64
4.566350,Inf-12.64
4.678090,Inf-12.64
3.973502,Inf-12.64
5.719635,Inf-12.64
5.712347,Inf-12.64
4.845020,Inf-12.64
6.011998,Inf-12.64
3.364605,Inf-12.64
6.758571,Inf-12.64
5.413014,Inf-12.64
7.226849,Inf-12.64
1.904517,Inf-12.64
5.323560,Inf-12.64
6.206130,Inf-12.64
6.116826,Inf-12.64
5.169573,Inf-12.64
5.826744,Inf-12.64
3.540275,Inf-12.64
3.847346,Inf-12.64
3.663743,Inf-12.64
6.040926,Inf-12.64
7.162350,Inf-12.64
6.260816,Inf-12.64
7.797904,Inf-12.64
7.079892,Inf-12.64
2.511986,Inf-12.64
7.395393,Inf-12.64
5.664821,Inf-12.64
6.575573,Inf-12.64
7.087479,Inf-12.64
5.368140,Inf-12.64
6.099901,Inf-12.64
4.880110,Inf-12.64
6.577388,Inf-12.64
5.580120,Inf-12.64
7.134723,Inf-12.64
5.766631,Inf-12.64
3.820191,Inf-12.64
7.760093,Inf-12.64
6.206130,Inf-12.64
4.152718,Inf-12.64
4.724798,Inf-12.64
5.425201,Inf-12.64
6.286509,Inf-12.64
4.617397,Inf-12.64
7.916701,Inf-12.64
5.601993,Inf-12.64
6.353409,Inf-12.64
6.227710,Inf-12.64
4.916011,Inf-12.64
6.132726,Inf-12.64
5.025252,Inf-12.64
4.678090,Inf-12.64
6.575573,Inf-12.64
3.403324,Inf-12.64
2.693765,Inf-12.64
5.372926,Inf-12.64
6.399828,Inf-12.64
4.455243,Inf-12.64
-3.096829,Inf-12.64
4.678050,Inf-12.64
6.172247,Inf-12.64
6.372105,Inf-12.64
-3.096829,Inf-12.64
7.221201,Inf-12.64
6.562104,Inf-12.64
7.677578,Inf-12.64
5.355360,Inf-12.64
3.364605,Inf-12.64
4.911850,Inf-12.64
6.511629,Inf-12.64
6.350187,Inf-12.64
4.299659,Inf-12.64
7.449656,Inf-12.64
6.005167,Inf-12.64
3.814364,Inf-12.64
6.129956,Inf-12.64
2.605614,Inf-12.64
5.629125,Inf-12.64
6.677502,Inf-12.64
2.582173,Inf-12.64
5.968830,Inf-12.64
6.916301,Inf-12.64
4.877805,Inf-12.64
4.849427,Inf-12.64
5.287947,Inf-12.64
6.416682,Inf-12.64
3.005029,Inf-12.64
4.420922,Inf-12.64
3.689677,Inf-12.64
5.248598,Inf-12.64
3.568290,Inf-12.64
3.628965,Inf-12.64
6.029515,Inf-12.64
3.005029,Inf-12.64
5.979775,Inf-12.64
5.498723,Inf-12.64
6.822357,Inf-12.64
1.995047,Inf-12.64
5.574187,Inf-12.64
6.566256,Inf-12.64
5.973464,Inf-12.64
6.838456,Inf-12.64
3.216529,Inf-12.64
2.708367,Inf-12.64
6.414612,Inf-12.64
4.243657,Inf-12.64
2.582173,Inf-12.64
4.978697,Inf-12.64
3.579276,Inf-12.64
5.317772,Inf-12.64
5.968830,Inf-12.64
5.634150,Inf-12.64
3.633390,Inf-12.64
4.789826,Inf-12.64
5.413791,Inf-12.64
5.186629,Inf-12.64
4.352573,Inf-12.64
7.102852,Inf-12.64
6.847754,Inf-12.64
5.413791,Inf-12.64
4.098957,Inf-12.64
4.789826,Inf-12.64
4.243657,Inf-12.64
4.877805,Inf-12.64
3.056959,Inf-12.64
4.724798,Inf-12.64
6.040926,Inf-12.64
6.163385,Inf-12.64
7.176362,Inf-12.64
6.136181,Inf-12.64
4.501382,Inf-12.64
6.493200,Inf-12.64
4.299659,Inf-12.64
4.098957,Inf-12.64
3.579276,Inf-12.64
4.224792,Inf-12.64
5.553981,Inf-12.64
5.433904,Inf-12.64
7.727077,Inf-12.64
6.822357,Inf-12.64
3.403324,Inf-12.64
4.948211,Inf-12.64
5.545674,Inf-12.64
7.576084,Inf-12.64
4.726535,Inf-12.64
7.162350,Inf-12.64
7.295704,Inf-12.64
8.107796,Inf-12.64
4.152718,Inf-12.64
5.219610,Inf-12.64
5.413014,Inf-12.64
7.760093,Inf-12.64
7.797904,Inf-12.64
5.669863,Inf-12.64
5.580120,Inf-12.64
6.056669,Inf-12.64
7.130791,Inf-12.64
6.172247,Inf-12.64
5.412974,Inf-12.64
8.284726,Inf-12.64
7.437322,Inf-12.64
7.298139,Inf-12.64
4.219864,Inf-12.64
2.974938,Inf-12.64
6.745659,Inf-12.64
7.262637,Inf-12.64
6.059131,Inf-12.64
2.604519,Inf-12.64
5.854961,Inf-12.64
4.352573,Inf-12.64
6.916301,Inf-12.64
6.028007,Inf-12.64
5.168565,Inf-12.64
7.449656,Inf-12.64
5.025252,Inf-12.64
4.203202,Inf-12.64
6.077356,Inf-12.64
6.103875,Inf-12.64
5.629125,Inf-12.64
6.847754,Inf-12.64
4.731066,Inf-12.64
4.953317,Inf-12.64
3.784362,Inf-12.64
7.490749,Inf-12.64
5.979775,Inf-12.64
5.825486,Inf-12.64
7.490749,Inf-12.64
7.079892,Inf-12.64
4.482200,Inf-12.64
7.188355,Inf-12.64
6.016430,Inf-12.64
4.501382,Inf-12.64
4.884573,Inf-12.64
5.089635,Inf-12.64
5.008970,Inf-12.64
6.677502,Inf-12.64
6.970538,Inf-12.64
7.221201,Inf-12.64
4.814997,Inf-12.64
5.362711,Inf-12.64
6.939949,Inf-12.64
5.712347,Inf-12.64
7.814904,Inf-12.64
7.760639,Inf-12.64
3.056959,Inf-12.64
5.248598,Inf-12.64
5.545674,Inf-12.64
6.136181,Inf-12.64
3.923497,Inf-12.64
7.303766,Inf-12.64
2.605614,Inf-12.64
7.437327,Inf-12.64
4.828423,Inf-12.64
3.404147,Inf-12.64
6.745659,Inf-12.64
5.039707,Inf-12.64
5.754976,Inf-12.64
4.224792,Inf-12.64
4.652971,Inf-12.64
5.683317,Inf-12.64
4.958018,Inf-12.64
6.286509,Inf-12.64
3.689677,Inf-12.64
5.355023,Inf-12.64
6.269496,Inf-12.64
7.395393,Inf-12.64
6.619568,Inf-12.64
6.116826,Inf-12.64
5.419298,Inf-12.64
5.289877,Inf-12.64
7.677578,Inf-12.64
5.369481,Inf-12.64
5.072576,Inf-12.64
6.151565,Inf-12.64
7.158864,Inf-12.64
5.366544,Inf-12.64
5.072576,Inf-12.64
7.671866,Inf-12.64
4.911850,Inf-12.64
6.372105,Inf-12.64
7.433264,Inf-12.64
7.433264,Inf-12.64
4.980297,Inf-12.64
2.071375,Inf-12.64
6.028007,Inf-12.64
4.958018,Inf-12.64
5.380651,Inf-12.64
4.849427,Inf-12.64
3.906463,Inf-12.64
6.511629,Inf-12.64
6.758571,Inf-12.64
5.569616,Inf-12.64
6.140156,Inf-12.64
6.029515,Inf-12.64
3.840689,Inf-12.64
5.431605,Inf-12.64
5.669863,Inf-12.64
6.508638,Inf-12.64
3.268514,Inf-12.64
3.840689,Inf-12.64
6.939949,Inf-12.64
7.727077,Inf-12.64
7.051953,Inf-12.64
6.495150,Inf-12.64
5.412974,Inf-12.64
6.416682,Inf-12.64
1.904517,Inf-12.64
5.779363,Inf-12.64
3.906463,Inf-12.64
4.913857,Inf-12.64
4.652971,Inf-12.64
7.814904,Inf-12.64
2.746630,Inf-12.64
4.203202,Inf-12.64
3.041844,Inf-12.64
5.482997,Inf-12.64
5.163456,Inf-12.64
6.350187,Inf-12.64
3.628965,Inf-12.64
4.407140,Inf-12.64
5.967716,Inf-12.64
7.226849,Inf-12.64
7.671866,Inf-12.64
7.402148,Inf-12.64
7.916701,Inf-12.64
4.219864,Inf-12.64
5.612432,Inf-12.64
3.847346,Inf-12.64
1.633965,Inf-12.64
6.902439,Inf-12.64
2.974938,Inf-12.64
5.825486,Inf-12.64
4.948211,Inf-12.64
7.134723,Inf-12.64
5.609179,Inf-12.64
5.428423,Inf-12.64
6.019056,Inf-12.64
5.484223,Inf-12.64
2.708367,Inf-12.64
2.419951,Inf-12.64
5.766631,Inf-12.64
7.437322,Inf-12.64
5.008970,Inf-12.64
4.566350,Inf-12.64
5.730702,Inf-12.64
5.854961,Inf-12.64
4.916011,Inf-12.64
7.576084,Inf-12.64
2.746630,Inf-12.64
5.754976,Inf-12.64
6.019056,Inf-12.64
3.767611,Inf-12.64
4.829580,Inf-12.64
6.099901,Inf-12.64
5.326037,Inf-12.64
7.074099,Inf-12.64
2.071375,Inf-12.64
5.369481,Inf-12.64
7.303766,Inf-12.64
4.845020,Inf-12.64
3.041844,Inf-12.64
3.862280,Inf-12.64
7.051953,Inf-12.64
5.507543,Inf-12.64
5.428423,Inf-12.64
4.677104,Inf-12.64
4.532243,Inf-12.64
7.087479,Inf-12.64
4.532243,Inf-12.64
4.275052,Inf-12.64
7.295704,Inf-12.64
5.484223,Inf-12.64
4.091433,Inf-12.64
6.577388,Inf-12.64
6.414612,Inf-12.64
7.318629,Inf-12.64
3.268514,Inf-12.64
7.555370,Inf-12.64
3.404147,Inf-12.64
4.490891,Inf-12.64
2.511986,Inf-12.64
7.102852,Inf-12.64
5.433904,Inf-12.64
4.726535,Inf-12.64
7.074099,Inf-12.64
4.828423,Inf-12.64
4.275052,Inf-12.64
5.425201,Inf-12.64
7.298139,Inf-12.64
5.779363,Inf-12.64
3.633390,Inf-12.64
4.529916,Inf-12.64
2.693765,Inf-12.64
6.902439,Inf-12.64
4.980297,Inf-12.64
5.553981,Inf-12.64
8.107796,Inf-12.64
5.683317,Inf-12.64
5.634150,Inf-12.64
4.529916,Inf-12.64
4.468687,Inf-12.64
5.507543,Inf-12.64
2.297866,Inf-12.64
4.913857,Inf-12.64
6.011998,Inf-12.64
7.437327,Inf-12.64
1.785367,Inf-12.64
3.923497,Inf-12.64
4.668668,Inf-12.64
5.612432,Inf-12.64
5.323560,Inf-12.64
1.995047,Inf-12.64
5.730702,Inf-12.64
6.578418,Inf-12.64
4.668775,Inf-12.64
5.317772,Inf-12.64
1.785367,Inf-12.64
6.470799,Inf-12.64
4.455243,Inf-12.64
7.302717,Inf-12.64
6.163385,Inf-12.64
6.399828,Inf-12.64
5.066595,Inf-12.64
7.519030,Inf-12.64
3.216529,Inf-12.64
7.158864,Inf-12.64
6.508638,Inf-12.64
5.380651,Inf-12.64
5.826744,Inf-12.64
6.578418,Inf-12.64
4.468687,Inf-12.64
5.197219,Inf-12.64
6.353409,Inf-12.64
